Ticker,Price,Market Capitalization,Number Of Shares to Buy
MMM,104.37,57556806797,N/A
AOS,68.67,10491095439,N/A
ABT,111.83,194354527236,N/A
ABBV,162.42,286531909045,N/A
ACN,277.145,183635078902,N/A
ATVI,85.705,67216213969,N/A
ADM,80.785,44144572655,N/A
ADBE,377.72,173260164000,N/A
ADP,214.53,88890836305,N/A
AAP,128.965,7644243167,N/A
AES,24.075,16106918532,N/A
AFL,65.41,40044567666,N/A
A,137.08,40534810009,N/A
APD,290.55,64526172358,N/A
AKAM,81.08,12671653394,N/A
ALK,44.23,5637756870,N/A
ALB,182.755,21437050385,N/A
ARE,123.58,21381023530,N/A
ALGN,354.03,27167912418,N/A
ALLE,103.57,9100429829,N/A
LNT,55.34,13911691057,N/A
ALL,116.5,30658912978,N/A
GOOGL,105.7,1264021456035,N/A
GOOG,106.38,1264825492405,N/A
MO,45.765,81742956130,N/A
AMZN,106.56,1093092627905,N/A
AMCR,11.005,16351008548,N/A
AMD,88.95,143156700081,N/A
AEE,89.68,23498739914,N/A
AAL,13.27,8662874836,N/A
AEP,93.74,48220506462,N/A
AXP,164.03,122049125148,N/A
AIG,51.28,37622491707,N/A
AMT,203.285,94737880862,N/A
AWK,150.53,29299587909,N/A
AMP,311.41,32744079201,N/A
ABC,166.98,33773072232,N/A
AME,137.04,31557698647,N/A
AMGN,243.0,129814344144,N/A
APH,76.365,45457197445,N/A
ADI,186.14,94159384164,N/A
ANSS,323.86,28114502938,N/A
AON,332.0,68107269828,N/A
APA,37.22,11577161710,N/A
AAPL,164.815,2607694029990,N/A
AMAT,113.095,95578668502,N/A
APTV,104.89,28430113432,N/A
ACGL,70.815,26379999976,N/A
ANET,155.385,47609246743,N/A
AJG,206.995,44228286111,N/A
AIZ,116.78,6179967354,N/A
T,18.175,129587750000,N/A
ATO,115.57,16545292436,N/A
ADSK,193.47,41554009356,N/A
AZO,2688.525,49462689835,N/A
AVB,172.26,24118054041,N/A
AVY,177.63,14407387229,N/A
BKR,29.805,30173454954,N/A
